id,from,at,to,open,close,min,max,volume
5267505,2024-11-14 19:47:30,1731613680000000000,1731613680,0.58665,0.586685,0.58664,0.586695,43
5267506,2024-11-14 19:48:00,1731613710000000000,1731613710,0.586685,0.586655,0.58664,0.58673,52
5267507,2024-11-14 19:48:30,1731613740000000000,1731613740,0.586655,0.58669,0.58663,0.586705,21
5267508,2024-11-14 19:49:00,1731613770000000000,1731613770,0.58667,0.586705,0.58667,0.58676,34
5267509,2024-11-14 19:49:30,1731613800000000000,1731613800,0.5867,0.58665,0.586645,0.5867,24
5267510,2024-11-14 19:50:00,1731613830000000000,1731613830,0.58665,0.58671,0.586605,0.586715,57
5267511,2024-11-14 19:50:30,1731613860004067683,1731613860,0.58673,0.58676,0.58669,0.586785,45
5267512,2024-11-14 19:51:00,1731613890000000000,1731613890,0.586755,0.58676,0.58675,0.586785,32
5267513,2024-11-14 19:51:30,1731613920000000000,1731613920,0.58676,0.586805,0.58676,0.586815,25
5267514,2024-11-14 19:52:00,1731613950000000000,1731613950,0.58681,0.586855,0.5868,0.586895,40
5267515,2024-11-14 19:52:30,1731613980000000000,1731613980,0.586845,0.586905,0.586845,0.586905,29
5267516,2024-11-14 19:53:00,1731614010000000000,1731614010,0.586905,0.586885,0.586835,0.586905,25
5267517,2024-11-14 19:53:30,1731614040000000000,1731614040,0.586895,0.58689,0.586855,0.58693,47
5267518,2024-11-14 19:54:00,1731614070000000000,1731614070,0.58689,0.586855,0.586855,0.5869,18
5267519,2024-11-14 19:54:30,1731614100002222020,1731614100,0.58686,0.586865,0.58684,0.586885,31
5267520,2024-11-14 19:55:00,1731614130000000000,1731614130,0.58686,0.58686,0.58684,0.5869,28
5267521,2024-11-14 19:55:30,1731614160000000000,1731614160,0.58686,0.58674,0.58673,0.586865,39
5267522,2024-11-14 19:56:00,1731614190000000000,1731614190,0.58674,0.586695,0.586675,0.58676,36
5267523,2024-11-14 19:56:30,1731614220000000000,1731614220,0.5867,0.5867,0.586685,0.5867,13
5267524,2024-11-14 19:57:00,1731614250000000000,1731614250,0.58668,0.5866,0.5866,0.5867,28
5267525,2024-11-14 19:57:30,1731614280000000000,1731614280,0.5866,0.58662,0.5866,0.58666,36
5267526,2024-11-14 19:58:00,1731614310000976331,1731614310,0.586615,0.586645,0.586615,0.586665,44
5267527,2024-11-14 19:58:30,1731614340000000000,1731614340,0.58665,0.58668,0.586645,0.586695,26
5267528,2024-11-14 19:59:00,1731614370000000000,1731614370,0.586675,0.586565,0.586565,0.58668,37
5267529,2024-11-14 19:59:30,1731614400000000000,1731614400,0.586595,0.58659,0.58654,0.586625,70
5267530,2024-11-14 20:00:00,1731614430000000000,1731614430,0.586595,0.58606,0.58605,0.58662,222
